year,lat,lon,Gear
2020,-8.38258,126.85294,Gill Net
2020,-8.44589,126.49803,Gill Net
2020,-8.4068,126.74135,Gill Net
2020,-8.40321,126.727185,Gill Net
2019,-8.358635,127.127925,Gill Net
2019,-8.32925,127.01614,Gill Net
2020,-8.337005,127.032335,Gill Net
2020,-8.32969,127.01748,Gill Net
2020,-8.32346,127.00698,Gill Net
2020,-8.324075,127.007275,Gill Net
2020,-8.35994,127.06337,Gill Net
2020,-8.542325,127.13237,Hand Line
2020,-8.60797,127.10527,Hand Line
2020,-8.47828,127.2182,Hand Line
2020,-8.47761,127.19903,Hand Line
2020,-8.36255,127.07798,Gill Net
2020,-8.34504,127.193755,Hand Line
2020,-8.44536,127.20061,Hand Line
2020,-8.34244,127.04816,Gill Net
2020,-8.36155,127.06796,Gill Net
2020,-8.35317,127.05734,Gill Net
2020,-8.36317,127.08454,Gill Net
2020,-8.36254,127.13699,Gill Net
2020,-8.3412,126.92312,Hand Line
2020,-8.33519,126.92549,Gill Net
2020,-8.3416,126.92092,Hand Line
2020,-8.33314,126.92812,Hand Line
2020,-8.3287,126.9531,Gill Net
2020,-8.328125,126.954075,Hand Line
2020,-8.33565,126.93523,Gill Net
2020,-8.33816,126.93184,Gill Net
2020,-8.344735,126.920745,Gill Net
2020,-8.34362,126.9237,Gill Net
2020,-8.34955,126.91063,Gill Net
2020,-8.34803,126.91582,Gill Net
2020,-8.34216,126.9124,Gill Net
2020,-8.346955,126.90959,Gill Net
2020,-8.34713,126.91806,Gill Net
2020,-8.34652,126.91417,Gill Net
2020,-8.34775,126.91421,Gill Net
2020,-8.34657,126.914405,Gill Net
2020,-8.34778,126.91657,Gill Net
2020,-8.35047,126.91153,Gill Net
2020,-8.36763,126.87604,Gill Net
2020,-8.34413,126.91704,Gill Net
2020,-8.34376,126.91772,Gill Net
2020,-8.3434,126.9228,Gill Net
2020,-8.33542,126.93332,Gill Net
2020,-8.376055,126.859335,Gill Net
2020,-8.34473,126.920505,Gill Net
2019,-8.41472,126.78335,Gill Net
2020,-8.408785,126.74275,Gill Net
2020,-8.40173,126.73139,Hand Line
2020,-8.40252,126.73156,Hand Line
2020,-8.40255,126.73122,Gill Net
2020,-8.41345,126.74745,Gill Net
2020,-8.40342,126.728475,Hand Line
2019,-8.43244,126.45258,Hand Line
2019,-8.42578,126.44504,Hand Line
2019,-8.41744,126.4219,Hand Line
2019,-8.41961,126.429925,Hand Line
2019,-8.42042,126.43098,Hand Line
2019,-8.424365,126.44347,Hand Line
2019,-8.41953,126.42549,Hand Line
2019,-8.41946,126.408045,Hand Line
